Mass/Charge	Intensity
223.8	0
223.92	0
224.04	0
224.16	0
224.28	0
224.4	0
224.52	0
224.64	0
224.76	0
224.88	0
225	0
225.12	0
225.24	0
225.36	0
225.48	0
225.6	0
225.72	0
225.84	0
225.96	0
226.08	0
226.2	0
226.32	0
226.44	0
226.56	0
226.68	0
226.8	0
226.92	0
227.04	0
227.16	0
227.28	0
227.4	0
227.52	0
227.64	0
227.76	0
227.88	0
228	0
228.12	0
228.24	0
228.36	0
228.48	0
228.6	0
228.72	0
228.84	0
228.96	0
229.08	0
229.2	0
229.32	0
229.44	0
229.56	0
229.68	0
229.8	0
229.92	0
230.04	0
230.16	11904.7618012816
230.28	11904.7618012816
230.4	0
230.52	0
230.64	0
230.76	0
230.88	0
231	0
231.12	23809.5236025632
231.24	23809.5236025632
231.36	11904.7618012816
231.48	0
231.6	0
231.72	0
231.84	0
231.96	0
232.08	0
232.2	0
232.32	0
232.44	0
232.56	0
232.68	0
232.8	0
232.92	0
233.04	0
233.16	11904.7618012816
233.28	0
233.4	0
233.52	0
233.64	0
233.76	0
233.88	0
234	0
234.12	0
234.24	0
234.36	0
234.48	0
234.6	0
234.72	0
234.84	0
234.96	0
235.08	0
235.2	0
235.32	0
235.44	0
235.56	0
235.68	0
235.8	0
235.92	0
236.04	0
236.16	0
236.28	0
236.4	0
236.52	0
236.64	0
236.76	0
236.88	0
237	0
237.12	0
237.24	0
237.36	0
237.48	0
237.6	0
237.72	0
237.84	0
237.96	0
238.08	0
238.2	0
238.32	0
238.44	0
238.56	0
238.68	0
238.8	0
238.92	0
239.04	0
239.16	0
239.28	0
239.4	0
239.52	0
239.64	0
239.76	0
239.88	0
240	0
240.12	0
240.24	0
240.36	0
240.48	0
240.6	0
240.72	0
240.84	0
240.96	0
241.08	0
241.2	0
241.32	0
241.44	0
241.56	0
241.68	0
241.8	0
241.92	0
242.04	0
242.16	0
242.28	0
242.4	0
242.52	0
242.64	0
242.76	0
242.88	0
243	0
243.12	0
243.24	0
243.36	0
243.48	0
243.6	0
243.72	0
243.84	0
243.96	0
244.08	0
244.2	0
244.32	0
244.44	0
244.56	0
244.68	0
244.8	0
244.92	0
245.04	0
245.16	0
245.28	0
245.4	0
245.52	0
245.64	0
245.76	0
245.88	0
246	0
246.12	0
246.24	0
246.36	0
246.480000000001	0
246.600000000001	0
246.720000000001	0
246.840000000001	0
246.960000000001	0
247.080000000001	0
247.200000000001	0
247.320000000001	0
247.440000000001	0
247.560000000001	0
247.680000000001	0
247.800000000001	0
247.920000000001	0
248.040000000001	0
248.160000000001	0
248.280000000001	0
248.400000000001	0
248.520000000001	0
248.640000000001	0
248.760000000001	0
248.880000000001	0
249.000000000001	0
249.120000000001	0
249.240000000001	0
249.360000000001	0
249.480000000001	0
249.600000000001	0
249.720000000001	0
249.840000000001	0
249.960000000001	0
250.080000000001	0
250.200000000001	0
250.32	11904.7618012816
250.44	0
250.56	0
250.68	0
250.8	0
250.92	0
251.04	0
251.16	0
251.28	0
251.4	0
251.52	0
251.64	0
251.76	0
251.88	0
252	0
252.12	0
252.24	0
252.36	0
252.48	0
252.6	0
252.72	0
252.84	0
252.96	0
253.08	0
253.2	0
253.32	0
253.44	0
253.56	0
253.68	0
253.8	0
253.92	0
254.04	0
254.16	0
254.28	0
254.4	0
254.52	0
254.64	0
254.76	0
254.88	0
255	0
255.12	0
255.24	0
255.36	0
255.48	0
255.6	0
255.72	0
255.84	0
255.96	0
256.08	0
256.2	0
256.32	0
256.44	0
256.56	0
256.68	0
256.8	0
256.92	0
257.04	0
257.16	0
257.28	0
257.4	0
257.52	0
257.64	0
257.76	0
257.88	0
258	0
258.12	0
258.24	0
258.36	0
258.48	0
258.6	0
258.72	0
258.84	0
258.96	0
259.08	0
259.2	0
259.32	0
259.44	0
259.56	0
259.68	0
259.8	0
259.92	0
260.04	0
260.16	0
260.28	0
260.4	0
260.52	0
260.64	0
260.76	0
260.88	0
